t,iso,vram_total_mb,server_pid,vram_server_mb,rss_mb,uptime_s,health_ms,health
1785948723.1,18:52:03,20225,107423,19080,10307,1549,6,200
1785948743.2,18:52:23,20225,107423,19080,10553,1569,6,200
1785948763.3,18:52:43,20225,107423,19080,10589,1589,6,200
1785948783.5,18:53:03,20229,107423,19084,10486,1609,6,200
1785948803.6,18:53:23,20227,107423,19084,10222,1630,6,200
1785948823.7,18:53:43,20227,107423,19084,10553,1650,6,200
1785948843.9,18:54:03,20227,107423,19084,10397,1670,6,200
1785948864.0,18:54:24,20219,107423,19084,10798,1690,6,200
1785948884.1,18:54:44,20235,107423,19092,11098,1710,6,200
1785948904.3,18:55:04,20235,107423,19092,11254,1730,6,200
1785948924.4,18:55:24,20235,107423,19092,10971,1750,6,200
1785948944.5,18:55:44,20155,107423,19092,11131,1770,6,200
1785948964.6,18:56:04,20159,107423,19096,10602,1791,6,200
1785948984.7,18:56:24,20159,107423,19096,10622,1811,6,200
1785949004.9,18:56:44,20159,107423,19096,10212,1831,6,200
1785949025.0,18:57:04,20159,107423,19096,10729,1851,6,200
1785949045.1,18:57:25,20167,107423,19104,11041,1871,6,200
1785949065.2,18:57:45,20167,107423,19104,11132,1891,6,200
1785949085.4,18:58:05,20171,107423,19108,10269,1911,6,200
1785949105.5,18:58:25,20231,107423,19108,11207,1931,6,200
1785949125.6,18:58:45,20231,107423,19108,11016,1952,6,200
1785949145.7,18:59:05,20235,107423,19112,11195,1972,6,200
1785949165.9,18:59:25,20235,107423,19112,10813,1992,6,200
1785949186.0,18:59:45,20235,107423,19112,11442,2012,6,200
1785949206.1,19:00:06,20261,107423,19116,11066,2032,6,200
1785949226.2,19:00:26,20254,107423,19116,10689,2052,6,200
1785949246.4,19:00:46,20260,107423,19116,10968,2072,9,200
1785949266.5,19:01:06,20289,107423,19120,11167,2092,6,200
1785949286.6,19:01:26,20290,107423,19120,10461,2113,6,200
1785949306.7,19:01:46,20295,107423,19120,10492,2133,6,200
1785949326.9,19:02:06,20290,107423,19120,11229,2153,6,200
1785949347.0,19:02:27,20317,107423,19128,11378,2173,6,200
1785949367.1,19:02:47,20290,107423,19128,10973,2193,6,200
1785949387.3,19:03:07,20340,107423,19128,10800,2213,6,200
1785949407.4,19:03:27,20345,107423,19132,11278,2233,6,200
1785949427.5,19:03:47,20347,107423,19132,11580,2253,6,200
1785949447.6,19:04:07,20354,107423,19132,11241,2274,6,200
1785949467.8,19:04:27,20353,107423,19132,10973,2294,6,200
1785949487.9,19:04:47,20353,107423,19132,11485,2314,6,200
1785949508.0,19:05:08,20353,107423,19132,11052,2334,6,200
1785949528.1,19:05:28,20353,107423,19132,10944,2354,6,200
1785949548.3,19:05:48,20353,107423,19132,11051,2374,6,200
1785949568.4,19:06:08,20353,107423,19132,11537,2394,6,200
1785949588.5,19:06:28,20353,107423,19132,11204,2414,6,200
1785949608.6,19:06:48,20353,107423,19132,11258,2435,6,200
1785949628.8,19:07:08,20355,107423,19132,11158,2455,6,200
1785949648.9,19:07:28,20347,107423,19132,11237,2475,6,200
1785949669.0,19:07:49,20351,107423,19136,10745,2495,6,200
1785949689.1,19:08:09,20351,107423,19136,11457,2515,6,200
1785949709.3,19:08:29,20355,107423,19136,10883,2535,6,200
1785949729.4,19:08:49,20355,107423,19136,10628,2555,6,200
1785949749.5,19:09:09,20355,107423,19136,11499,2575,6,200
1785949769.6,19:09:29,20355,107423,19136,10845,2596,6,200
1785949789.7,19:09:49,20355,107423,19136,11615,2616,6,200
1785949809.9,19:10:09,20347,107423,19136,11282,2636,6,200
1785949830.0,19:10:29,20354,107423,19136,11601,2656,6,200
1785949850.1,19:10:50,20210,107423,19136,11215,2676,6,200
1785949870.2,19:11:10,20210,107423,19136,11175,2696,6,200
1785949890.4,19:11:30,20210,107423,19136,11614,2716,8,200
1785949910.5,19:11:50,20210,107423,19136,11511,2736,6,200
1785949930.6,19:12:10,20210,107423,19136,11293,2757,6,200
1785949950.8,19:12:30,20210,107423,19136,11323,2777,6,200
1785949970.9,19:12:50,20202,107423,19136,10970,2797,6,200
1785949991.0,19:13:11,20210,107423,19136,11351,2817,6,200
1785950011.1,19:13:31,20249,107423,19136,10678,2837,6,200
1785950031.3,19:13:51,20239,107423,19136,10571,2857,6,200
1785950051.4,19:14:11,20253,107423,19136,10980,2877,6,200
1785950071.5,19:14:31,20240,107423,19136,10734,2897,6,200
1785950091.6,19:14:51,20292,107423,19140,11565,2918,6,200
1785950111.8,19:15:11,20292,107423,19140,10774,2938,6,200
1785950131.9,19:15:31,20558,107423,19140,11302,2958,6,200
1785950152.0,19:15:52,20572,107423,19140,11281,2978,6,200
1785950172.1,19:16:12,927,,-1,-1,-1,6,000
1785950192.2,19:16:32,20369,141060,18948,1652,13,6,200
1785950212.3,19:16:52,20369,141060,18956,3434,33,6,200
1785950232.4,19:17:12,20385,141060,18972,5148,53,6,200
1785950252.6,19:17:32,20387,141060,18974,7546,73,6,200
1785950272.7,19:17:52,20387,141060,18982,9554,93,6,200
1785950292.8,19:18:12,20395,141060,18990,10562,113,6,200
1785950312.9,19:18:32,20395,141060,18990,9964,133,6,200
1785950333.1,19:18:53,20395,141060,18990,10116,154,6,200
1785950353.2,19:19:13,20403,141060,18998,10701,174,6,200
1785950373.3,19:19:33,20411,141060,18998,9811,194,6,200
1785950393.4,19:19:53,20411,141060,19006,10209,214,6,200
1785950413.6,19:20:13,1408,,-1,-1,-1,6,000
1785950433.6,19:20:33,3783,,-1,-1,-1,18,000
1785950453.7,19:20:53,3759,,-1,-1,-1,173,000
1785950474.0,19:21:14,3751,,-1,-1,-1,19,000
1785950494.1,19:21:34,3759,,-1,-1,-1,215,000
1785950514.7,19:21:54,3751,,-1,-1,-1,12,000
1785950534.7,19:22:14,4173,,-1,-1,-1,6,000
1785950554.8,19:22:34,23736,,-1,-1,-1,6,000
